,wind_code,delist_date
869,000502.SZ,1899-12-30
870,000802.SZ,1899-12-30
871,300269.SZ,1899-12-30
872,000616.SZ,1899-12-30
873,600291.SH,1899-12-30
874,300495.SZ,1899-12-30
875,688113.SH,1899-12-30
876,000523.SZ,1899-12-30
877,600112.SH,1899-12-30
878,600275.SH,1899-12-30
879,600387.SH,1899-12-30
880,600615.SH,1899-12-30
881,603863.SH,1899-12-30
882,300981.SZ,1899-12-30
883,600139.SH,1899-12-30
884,002640.SZ,1899-12-30
885,000606.SZ,1899-12-30
886,002175.SZ,1899-12-30
887,002770.SZ,1899-12-30
888,300178.SZ,1899-12-30
889,600589.SH,1899-12-30
890,300982.SZ,1899-12-30
