wind_code,,trading_date,wind_code,open_price,high_price,low_price,close_price,volume,vwap,turn,free_turn,is_st,trade_status,susp_days,susp_reason,max_up_or_down,close_adj,return1,return5,return_bn
000975.SZ,640,2013-09-25,000975.SZ,8.4,8.47,8.23,8.26,4301263.0,8.360084351968247,0.6904937492087441,1.0768831507336851,0.0,交易,,,0.0,37.781851239999995,-0.01666666666666683,0.025423728813559254,-0.022760076421896907
000975.SZ,641,2013-09-26,000975.SZ,8.25,8.37,8.21,8.26,3129172.0,8.290536985502872,0.5023347110369729,0.7834332851880078,0.0,交易,,,0.0,37.781851239999995,0.0,0.013317191283293006,-0.405707592068268
000975.SZ,642,2013-09-27,000975.SZ,8.26,8.42,8.26,8.33,2601702.0,8.335527550810971,0.4176584803821314,0.6513735726064948,0.0,交易,,,0.0,38.10203642,0.008474576271186418,0.026410564225690214,-0.3944849495485055
000975.SZ,643,2013-09-30,000975.SZ,8.34,8.44,8.22,8.43,3897923.0000000005,8.358575272010247,0.6257444537562561,0.979469917546478,0.0,交易,,,0.0,38.55944381999999,0.012004801920768138,0.03795966785290639,-0.17415293619981115
000975.SZ,644,2013-10-08,000975.SZ,8.36,8.5,8.35,8.48,3967441.0000000005,8.447736135206544,0.6369043722400812,0.996938397485152,0.0,交易,,,0.0,38.788147519999995,0.005931198102016699,0.024764150943396235,-0.10512598263097302
000975.SZ,645,2013-10-09,000975.SZ,8.46,8.52,8.4,8.47,2920051.0,8.455440333062676,0.4687639334936603,0.7337502850111484,0.0,交易,,,0.0,38.742406779999996,-0.001179245283018826,-0.008264462809917217,-0.0008306407850549315
000975.SZ,646,2013-10-10,000975.SZ,8.5,8.5,8.33,8.37,3701482.0,8.394030093892123,0.5942092319880649,0.9301082318300726,0.0,交易,,,0.0,38.284999379999995,-0.011806375442739103,0.005973715651135025,0.08240844616478911
000975.SZ,647,2013-10-11,000975.SZ,8.41,8.55,8.33,8.55,5804161.0,8.435112344402574,0.9317581579878218,1.4584693171456908,0.0,交易,,,0.0,39.1083327,0.021505376344086002,-0.01169590643274876,-0.04052082875050184
000975.SZ,648,2013-10-14,000975.SZ,8.51,8.76,8.51,8.75,6906987.0,8.64364826515527,1.108797892471596,1.7355873852265926,0.0,交易,,,0.0,40.02314749999999,0.023391812865496853,-0.01942857142857135,-0.389559577453906
000975.SZ,649,2013-10-15,000975.SZ,8.91,8.91,8.55,8.69,7052013.0,8.699706268266947,1.1320793208503646,1.7720295120367158,0.0,交易,,,0.0,39.74870306,-0.006857142857142784,0.025316455696202445,0.48487400912835904
000975.SZ,650,2013-10-16,000975.SZ,8.65,8.65,8.37,8.4,4062142.0,8.469737296234351,0.6521069879703486,1.020734860540366,0.0,交易,,,0.0,38.4222216,-0.033371691599539566,0.06071428571428572,1.0384022208355386
000975.SZ,651,2013-10-17,000975.SZ,8.43,8.5,8.37,8.42,3542786.0,8.4353872912448,0.5687333203722369,0.8902311080297934,0.0,交易,,,0.0,38.51370308,0.0023809523809523725,0.03919239904988103,0.8637969437801966
000975.SZ,652,2013-10-18,000975.SZ,8.5,8.5,8.4,8.45,2919905.0,8.442073937337003,0.4687404957063442,0.7337135981376617,0.0,交易,,,0.0,38.65092529999999,0.0035629453681707,0.04142011834319548,1.2698096535958925
000975.SZ,653,2013-10-21,000975.SZ,8.48,8.61,8.4,8.58,5621298.0,8.50135337069837,0.9024026504400252,1.4125195106635462,0.0,交易,,,0.0,39.24555492,0.015384615384615552,0.018648018648018683,1.2850008715448922
000975.SZ,654,2013-10-22,000975.SZ,8.58,9.1,8.53,8.91,15592798.000000002,8.910982281691842,2.503155364290583,3.918157585816572,0.0,交易,,,0.0,40.75499934,0.03846153846153855,-0.06060606060606066,0.20773158662079685
000975.SZ,655,2013-10-23,000975.SZ,9.03,9.16,8.81,8.91,12078383.0,8.950446015828444,1.9389765196987847,3.035055541401096,0.0,交易,,,0.0,40.75499934,0.0,-0.04713804713804726,-0.19632465738231483
000975.SZ,656,2013-10-24,000975.SZ,8.95,9.0,8.65,8.75,7772339.0,8.82366968296159,1.247715263221835,1.9530329971816467,0.0,交易,,,0.0,40.02314749999999,-0.017957351290684764,-0.044571428571428484,-0.09699701693844216
000975.SZ,657,2013-10-25,000975.SZ,8.74,8.86,8.64,8.8,6142542.0,8.761400443008773,0.9860794039453472,1.5434976797298916,0.0,交易,,,0.0,40.2518512,0.005714285714285783,-0.04886363636363644,-0.42140328853567566
000975.SZ,658,2013-10-28,000975.SZ,8.85,8.85,8.61,8.74,4475963.0,8.685452761785568,0.7185388275931086,1.1247197829590492,0.0,交易,,,0.0,39.977406759999994,-0.006818181818181945,-0.03203661327231111,-0.28377761087414294
000975.SZ,659,2013-10-29,000975.SZ,8.71,8.8,8.2,8.37,6517678.0,8.434199787102093,1.0463010325932982,1.6377618370743838,0.0,交易,,,0.0,38.284999379999995,-0.04233409610983985,0.039426523297490856,0.33036815675085746
000975.SZ,660,2013-10-30,000975.SZ,8.35,8.52,8.35,8.49,3836739.0,8.43867195553307,0.6159224155429247,0.9640956047560088,0.0,交易,,,0.0,38.833888259999995,0.014336917562723928,0.012956419316843437,0.29453108375926695
000975.SZ,661,2013-10-31,000975.SZ,8.47,8.49,8.31,8.36,2776815.0,8.377983156962204,0.4457698588086984,0.6977579493211701,0.0,交易,,,0.0,38.239258639999996,-0.01531213191990577,0.0023923444976077235,0.14093809617645855
000975.SZ,662,2013-11-01,000975.SZ,8.39,8.44,8.26,8.37,2322669.0,8.338109993287896,0.372864534435798,0.5836401627014594,0.0,交易,,,0.0,38.284999379999995,0.0011961722488038617,-0.008363201911588902,0.12101707410776127
